Target_genes	SOX17|Average	SRX702102|hESC_derived_mesendodermal_cells	SRX702103|hESC_derived_mesendodermal_cells	SRX702104|hESC_derived_mesendodermal_cells	SRX702101|hESC_HUES64	SRX5771670|Tcam-2	SRX5771672|Tcam-2	SRX5771674|Tcam-2	STRING
SNX16	571.714286	0	431	132	390	1306	777	966	0
MAMDC2	485.428571	0	208	125	304	1049	899	813	0
FAM222B	474.857143	0	0	0	0	1233	992	1099	0
TUBB	468.285714	0	0	0	0	1116	970	1192	0
MDC1	468.285714	0	0	0	0	1116	970	1192	0
NANOS3	467.285714	0	0	0	0	1214	933	1124	0
OLFM2	451.857143	0	0	0	0	1134	973	1056	0
CPVL	439.428571	0	0	0	0	1150	963	963	0
CHN2	439.428571	0	0	0	0	1150	963	963	0
OCM	437.714286	0	0	0	0	1017	1051	996	0
CYP4A22	436.142857	0	0	0	0	1123	998	932	0
COL17A1	434.857143	0	0	0	0	1045	916	1083	0
NDUFB6	418.714286	0	0	0	0	1186	945	800	0
KIAA0513	417.571429	0	0	0	0	1070	827	1026	0
GLDC	413.857143	0	0	0	0	1015	815	1067	0
PPP2R5A	410.285714	0	0	180	0	1108	851	733	0
RAB11B	404.285714	0	0	0	0	1006	759	1065	0
XPNPEP1	399.571429	0	0	0	0	1067	727	1003	0
FGF13	399.428571	0	0	0	0	963	944	889	0
PSAP	396.000000	0	0	0	0	988	951	833	0
IFT80	391.714286	0	0	0	0	1174	758	810	0
ZNF281	389.285714	0	0	0	0	1066	814	845	0
CPSF4L	384.142857	0	0	0	0	1012	844	833	0
SAMHD1	384.000000	0	0	0	0	999	779	910	0
DDX11	380.857143	0	0	0	0	1091	835	740	0
LYPD6B	377.571429	0	0	0	0	1092	786	765	0
MUC4	372.571429	0	0	0	0	994	776	838	0
PLOD1	372.428571	0	0	0	0	938	782	887	0
KIAA2013	372.428571	0	0	0	0	938	782	887	0
COL4A2	368.285714	0	0	0	0	1104	699	775	0
COL4A1	368.285714	0	0	0	0	1104	699	775	0
PIM2	367.285714	0	0	0	0	922	730	919	0
SP2	366.142857	0	0	0	108	895	672	888	0
GSX1	365.714286	0	0	0	0	998	702	860	0
GET4	364.714286	0	0	0	0	870	807	876	0
IRX1	362.714286	0	0	0	0	801	757	981	0
TMEM60	360.714286	0	0	0	0	922	760	843	0
PHTF2	360.714286	0	0	0	0	922	760	843	0
TENT5B	359.000000	0	0	0	0	982	731	800	0
MT1E	359.000000	0	0	0	0	997	850	666	0
KLHL3	356.142857	0	0	0	0	871	744	878	0
CYP4X1	353.571429	0	0	0	0	988	672	815	0
SUSD3	351.714286	0	147	0	0	985	570	760	0
NMNAT2	350.000000	0	0	0	0	939	715	796	0
KDELR2	349.714286	0	0	0	0	981	816	651	0
HACD2	348.142857	0	222	223	202	740	490	560	0
EXOC7	348.142857	0	0	0	0	1021	771	645	0
SRGAP1	347.285714	0	0	0	0	936	729	766	0
KIAA0319	346.571429	0	0	0	0	986	695	745	0
ZNF335	346.285714	0	0	0	0	836	804	784	0
DPPA5	345.000000	0	0	0	0	795	821	799	0
BICD1	342.571429	0	0	0	0	803	732	863	0
TCP11L1	342.285714	0	276	0	108	793	619	600	0
RACGAP1	341.714286	0	191	0	165	742	647	647	0
WDHD1	341.000000	0	0	0	0	882	661	844	0
SOCS4	341.000000	0	0	0	0	882	661	844	0
SGIP1	340.857143	0	0	0	0	888	769	729	0
RNF11	339.571429	0	0	0	0	853	770	754	0
KNTC1	337.714286	0	0	0	0	938	753	673	0
LRRC59	336.571429	0	0	0	0	907	712	737	0
ZNF875	336.000000	0	0	0	0	842	722	788	0
NCALD	336.000000	0	0	0	0	885	722	745	0
SHCBP1L	335.285714	0	0	0	0	932	738	677	0
ZNF724	335.000000	0	0	0	0	912	756	677	0
NDUFV1	333.000000	0	0	0	0	933	657	741	0
DHRS3	332.428571	0	177	0	0	835	566	749	0
ITPRIP	331.714286	0	0	0	0	852	721	749	0
ZNF511	331.571429	0	0	0	0	877	724	720	0
TUBGCP2	331.571429	0	0	0	0	877	724	720	0
WFDC6	331.142857	0	0	0	0	882	623	813	0
EPPIN-WFDC6	331.142857	0	0	0	0	882	623	813	0
EPPIN	331.142857	0	0	0	0	882	623	813	0
ZC3H3	330.000000	0	0	0	0	1043	665	602	0
PLEKHA1	329.571429	0	0	0	0	702	712	893	0
ASB1	328.142857	0	0	0	0	984	695	618	0
DKK1	327.714286	0	0	0	0	889	594	811	0
FGF6	326.857143	0	0	0	0	975	560	753	0
PUF60	324.000000	0	0	0	0	862	764	642	0
NRBP2	324.000000	0	0	0	0	862	764	642	0
PDE2A	323.142857	0	0	0	0	884	721	657	0
RCC2	321.428571	0	0	0	0	972	635	643	0
CARS1	320.428571	0	171	0	0	936	575	561	0
SMARCA2	320.285714	0	0	0	0	860	648	734	0
NAV2	319.142857	0	0	0	0	859	578	797	0
SERINC5	318.571429	0	0	0	0	900	728	602	0
NACAD	318.571429	0	0	0	0	883	694	653	0
CAPN13	318.142857	0	0	0	0	843	619	765	0
C2orf49	317.142857	0	0	0	0	712	754	754	0
APCDD1	317.142857	0	0	0	0	867	649	704	0
PPM1A	316.428571	0	0	0	0	854	697	664	0
FKBP4	316.000000	0	0	0	0	795	702	715	0
MRPL20	315.285714	0	0	0	0	848	590	769	0
PCDH1	314.285714	0	0	0	0	739	739	722	0
TESK2	313.857143	0	0	0	0	823	623	751	0
MMACHC	313.857143	0	0	0	0	823	623	751	0
ACSL3	312.857143	0	0	0	0	943	602	645	0
ACSF2	311.571429	0	0	0	0	872	721	588	0
SNCA	311.428571	0	0	0	0	930	610	640	0
SRGAP2	310.857143	0	0	97	0	893	584	602	0
RMND5B	310.428571	0	0	0	0	858	765	550	0
SLC25A16	310.285714	0	0	0	0	803	616	753	0
LHFPL4	310.142857	0	0	0	0	870	650	651	0
CRYGB	310.142857	0	0	110	0	796	674	591	0
TXNDC15	310.000000	0	441	249	320	511	302	347	0
GYS2	309.142857	0	0	0	0	867	632	665	0
ENSA	308.428571	0	0	0	0	904	646	609	0
TRIM2	307.714286	0	0	143	0	782	489	740	0
TFDP2	307.428571	0	0	0	0	802	639	711	0
